range,posture,start,end,
LittleBear_ui,default,206539,10265,
BigBear_ui,default,10290,21858,
Twins_ui,default,21888,29329,
Goose_ui,default,29357,43954,
Crown_ui,default,43981,52836,
Queen_ui,default,52865,62530,
