time, Pitch, Yaw, Roll
7.26911, 2.582022, 5.360085, 0.3006659
7.296434, 2.662416, 5.666833, 0.2533378
7.324066, 2.694208, 5.881866, 0.2027088
7.352696, 2.685621, 6.026134, 0.166689
7.380654, 2.701971, 6.11869, 0.1545051
7.40845, 2.750579, 6.198465, 0.1480375
7.435221, 2.777772, 6.274386, 0.1341704
7.462605, 2.781786, 6.388041, 0.1312212
7.4912, 2.799392, 6.507708, 0.1065312
7.518652, 2.805051, 6.606013, 0.07132626
7.547074, 2.802118, 6.651072, 0
7.574991, 2.829093, 6.615447, -0.04423466
7.602247, 2.818765, 6.514574, -0.07912937
7.631011, 2.756266, 6.36011, -0.09891172
7.657363, 2.650775, 6.125864, -0.1312212
7.685622, 2.501237, 5.818946, -0.1607126
7.714117, 2.308086, 5.419746, -0.1780411
7.741313, 2.147216, 4.943438, -0.2065338
7.769686, 1.99753, 4.42669, -0.2017412
7.796505, 1.858885, 3.916817, -0.183454
7.824648, 1.740688, 3.442361, -0.1607126
7.853085, 1.649601, 3.030863, -0.1341704
7.880149, 1.589424, 2.706024, -0.1186941
7.909081, 1.542689, 2.470847, -0.1101434
7.935676, 1.515428, 2.342262, -0.1046783
7.970741, 1.500896, 2.310714, -0.1046783
8.002179, 1.50285, 2.352268, -0.1170339
8.025504, 1.527006, 2.495048, -0.132704
8.062555, 1.527775, 2.670271, -0.1136409
8.094345, 1.531102, 2.892388, -0.1046783
8.123682, 1.515687, 3.132379, -0.1101434
8.152423, 1.478829, 3.380319, -0.1235407
8.180548, 1.434496, 3.624933, -0.1370561
8.208087, 1.393812, 3.861989, -0.1426525
8.23667, 1.354941, 4.0895, -0.1506579
8.265099, 1.326332, 4.296053, -0.1631294
8.294485, 1.304013, 4.480302, -0.1678588
8.321967, 1.280847, 4.642116, -0.1735894
8.34982, 1.250544, 4.808113, -0.1780411
8.377628, 1.211277, 4.994379, -0.1907741
8.406874, 1.161801, 5.202285, -0.20842
8.435354, 1.115573, 5.439632, -0.2390311
8.464638, 1.086425, 5.708563, -0.2846186
8.493268, 1.065878, 6.015194, -0.3232465
8.520604, 1.057769, 6.35971, -0.3727285
8.548976, 1.07429, 6.73764, -0.4410186
8.576142, 1.131942, 7.157577, -0.5319225
8.603932, -1.226688, 7.619219, -0.6339648
8.632128, -1.356818, 8.101011, -0.7415132
8.659642, -1.519297, 8.566234, -0.8437192
8.687626, -1.722492, 9.012166, -0.939828
8.716447, -2.008278, 9.456419, -1.059802
8.742775, -2.306475, 9.88511, -1.163988
8.771835, -2.63834, 10.29694, -1.267795
8.798797, -3.019345, 10.7003, -1.373589
8.827006, -3.439516, 11.09938, -1.467404
8.85507, -3.928349, 11.47375, -1.616768
8.881867, -4.42545, 11.83488, -1.732687
8.910976, -4.948191, 12.16857, -1.862251
8.93813, -5.512422, 12.47876, -1.967321
8.966396, -6.108301, 12.77121, -2.102638
8.99447, -6.714284, 13.04902, -2.222111
9.021201, -7.353006, 13.32982, -2.334981
9.049649, -8.058125, 13.61093, -2.457024
9.076604, -8.811801, 13.85225, -2.575799
9.103785, -9.628963, 14.05578, -2.71231
9.138935, -10.49016, 14.22757, -2.820917
9.161151, -11.35468, 14.36118, -2.929108
9.185769, -12.22218, 14.47043, -3.004982
9.214067, -13.08398, 14.5365, -3.103055
9.24204, -13.92779, 14.57769, -3.156039
9.271071, -14.73178, 14.56568, -3.160068
9.298355, -15.56128, 14.51388, -3.187088
9.325348, -16.38606, 14.41333, -3.196594
9.354884, -17.14667, 14.23693, -3.187517
9.383175, -17.80276, 14.01858, -3.116904
9.409798, -18.45263, 13.75632, -3.020965
9.436822, -19.04968, 13.39101, -2.909191
9.464154, -19.64771, 12.9626, -2.788252
9.492997, -20.27823, 12.48942, -2.652325
9.520518, -20.91588, 12.01616, -2.481281
9.548584, -21.59748, 11.59048, -2.283277
9.576632, -22.29893, 11.1869, -2.095645
9.604554, -23.02305, 10.83845, -1.881384
9.632155, -23.72323, 10.54816, -1.633626
9.660193, -24.34836, 10.28966, -1.40653
9.687861, -25.00359, 10.08165, -1.157244
9.715556, -25.66437, 9.896642, -0.9337703
9.743272, -26.30349, 9.727709, -0.7462481
9.771592, -26.90134, 9.517398, -0.5609285
9.798248, -27.46191, 9.258563, -0.3995845
9.82651, -28.01216, 8.92775, -0.2238118
9.854896, -28.48447, 8.563849, -0.03426402
9.882176, -28.91221, 8.180357, 0.1570175
9.910621, -29.30681, 7.757041, 0.3538778
9.938124, -29.66009, 7.34278, 0.5028
9.965494, -30.04627, 6.86127, 0.5938025
9.99396, -30.45644, 6.381684, 0.7308815
10.02127, -30.82276, 5.915993, 0.8444148
10.04966, -31.16277, 5.427298, 0.9821809
10.07651, -31.52371, 5.007738, 1.174699
10.10419, -31.88028, 4.601301, 1.326184
10.13343, -32.21947, 4.186194, 1.523671
10.15956, -32.56499, 3.768787, 1.742374
10.18747, -32.89845, 3.324724, 1.961543
10.21576, -33.23278, 2.951146, 2.242277
10.24464, -33.55212, 2.561625, 2.511
10.27895, -33.92279, 2.150131, 2.828609
10.31256, -34.3161, 1.617978, 3.209491
10.34444, -34.78032, 0.9293592, 3.687483
10.37348, -35.32905, 0.235734, 4.181279
10.39733, -35.89209, -0.4865827, 4.724763
10.42714, -36.42197, -1.289982, 5.284499
10.45441, -36.98034, -2.164104, 5.861135
10.48084, -37.50187, -2.961013, 6.371507
10.50779, -38.03865, -3.824437, 6.84361
10.53576, -38.59471, -4.756952, 7.349216
10.56156, -39.17875, -5.687961, 7.841824
10.58947, -39.78187, -6.603994, 8.342449
10.6167, -40.36218, -7.525847, 8.863993
10.64443, -40.88729, -8.473197, 9.349877
10.67187, -41.35104, -9.416155, 9.855824
10.70015, -41.6953, -10.35651, 10.351
10.72817, -41.9235, -11.28236, 10.82542
10.75516, -42.09901, -12.19629, 11.32813
10.78397, -42.21128, -13.10277, 11.79169
10.81174, -42.25401, -14.00938, 12.28103
10.83907, -42.21973, -14.92829, 12.79256
10.8669, -42.18709, -15.84195, 13.29625
10.89456, -42.15422, -16.67626, 13.79634
10.92326, -42.08832, -17.47514, 14.33086
10.9508, -41.96389, -18.27421, 14.81364
10.97791, -41.81336, -19.06343, 15.29239
11.00554, -41.66475, -19.843, 15.76121
11.03418, -41.54972, -20.60361, 16.24226
11.06165, -41.45259, -21.31248, 16.71835
11.08928, -41.34869, -22.0051, 17.16581
11.11676, -41.2194, -22.67233, 17.57825
11.14511, -41.09676, -23.26735, 17.97884
11.17314, -40.94422, -23.81884, 18.3411
11.20078, -40.7225, -24.37665, 18.65893
11.22869, -40.4651, -24.89671, 18.93638
11.25692, -40.18559, -25.40362, 19.24299
11.28404, -39.83784, -25.94554, 19.51398
11.31199, -39.46063, -26.514, 19.77177
11.3392, -39.08128, -27.11459, 20.03797
11.36788, -38.68675, -27.73855, 20.31871
11.39601, -38.26889, -28.41548, 20.62948
11.42288, -37.83567, -29.15282, 20.94452
11.45633, -37.42956, -29.91396, 21.30516
11.48072, -37.00972, -30.73423, 21.66839
11.51454, -36.5959, -31.53421, 22.03456
11.54027, -36.12748, -32.31874, 22.41647
11.56721, -35.61926, -33.07699, 22.70879
11.59526, -35.03709, -33.82853, 22.94209
11.62248, -34.42011, -34.54474, 23.07671
11.64207, -33.84974, -35.11229, 23.12138
11.67026, -33.24699, -35.55577, 23.13287
11.69798, -32.65089, -35.89231, 23.06273
11.72579, -32.09293, -36.20094, 23.00874
11.7542, -31.60958, -36.52377, 23.01012
11.78304, -31.14637, -36.88779, 23.01846
11.81125, -30.68816, -37.26727, 23.0364
11.84574, -30.26979, -37.6122, 23.05614
11.87822, -29.93413, -37.91042, 23.09544
11.90336, -29.71929, -38.15891, 23.19337
11.93358, -29.61085, -38.36765, 23.33445
11.96284, -29.64536, -38.57016, 23.54219
11.99134, -29.81233, -38.75998, 23.82144
12.01815, -30.04798, -38.93761, 24.07416
12.04521, -30.36976, -39.13522, 24.46179
12.07349, -30.7412, -39.3249, 24.86261
12.1022, -31.07956, -39.57611, 25.2577
12.12984, -31.30399, -39.82399, 25.57351
12.15843, -31.51521, -40.0781, 25.86113
12.18534, -31.6741, -40.3271, 26.10022
12.21403, -31.78265, -40.57072, 26.32201
12.24152, -31.88324, -40.76914, 26.47433
12.26956, -31.94631, -40.93649, 26.59334
12.29717, -31.98516, -41.0472, 26.67321
12.31812, -32.00473, -41.10432, 26.72513
12.34982, -32.00183, -41.11393, 26.75793
12.37527, -31.98236, -41.09313, 26.7728
12.40393, -31.95263, -41.01423, 26.74271
12.43369, -31.89477, -40.89396, 26.70306
12.4625, -31.83543, -40.73541, 26.61319
12.49137, -31.78222, -40.53888, 26.52808
12.51807, -31.74674, -40.35873, 26.44354
12.54606, -31.73089, -40.2084, 26.39112
12.57365, -31.72022, -40.08598, 26.33881
12.60152, -31.69415, -39.97716, 26.28148
12.62991, -31.67668, -39.8754, 26.24784
12.65749, -31.65288, -39.80835, 26.21476
12.68507, -31.61782, -39.77982, 26.20103
12.72058, -31.57674, -39.7779, 26.18253
12.74024, -31.53451, -39.79337, 26.16594
12.76794, -31.50102, -39.81556, 26.16642
12.79597, -31.46708, -39.83208, 26.15627
12.82364, -31.40713, -39.81947, 26.1187
12.85183, -31.31563, -39.78977, 26.04062
12.88062, -31.21295, -39.7328, 25.91902
12.90749, -31.1392, -39.64954, 25.82077
12.93564, -31.07787, -39.5676, 25.71949
12.96368, -31.03467, -39.50655, 25.6482
12.99175, -31.02645, -39.46756, 25.61625
13.01857, -31.05377, -39.44707, 25.60039
13.04616, -31.09114, -39.46434, 25.64618
13.07421, -31.12307, -39.51217, 25.68565
13.10331, -31.16861, -39.58254, 25.75155
13.13569, -31.22185, -39.65849, 25.83361
13.15778, -31.26603, -39.72773, 25.91051
13.1843, -31.33343, -39.79674, 25.97391
13.21209, -31.38027, -39.87481, 26.03777
13.24045, -31.41535, -39.94864, 26.09208
13.26908, -31.42786, -40.01672, 26.17463
13.2964, -31.39263, -40.10221, 26.2337
13.32482, -31.35345, -40.19521, 26.29462
13.35289, -31.30802, -40.28223, 26.37765
13.37991, -31.25541, -40.37911, 26.47343
13.40769, -31.14727, -40.45255, 26.49784
13.43598, -31.06352, -40.51002, 26.52512
13.46379, -30.99974, -40.56205, 26.55648
13.49175, -30.93969, -40.62222, 26.59514
13.5192, -30.88928, -40.68649, 26.63013
13.54746, -30.85054, -40.7383, 26.66198
13.57509, -30.80349, -40.78259, 26.67424
13.60301, -30.73701, -40.82617, 26.67192
13.63074, -30.6834, -40.85351, 26.65679
13.65799, -30.6272, -40.87608, 26.61988
13.68597, -30.5803, -40.88742, 26.57851
13.71442, -30.5566, -40.88397, 26.54152
13.74237, -30.55949, -40.87614, 26.51992
13.7701, -30.56771, -40.85873, 26.48931
13.7974, -30.56503, -40.84158, 26.4307
13.82539, -30.54295, -40.83337, 26.34938
13.8533, -30.511, -40.84192, 26.27662
13.88092, -30.45827, -40.86629, 26.18235
13.90886, -30.35613, -40.89801, 26.03901
13.93647, -30.23419, -40.91761, 25.86615
13.96497, -30.102, -40.9267, 25.68842
13.9927, -29.95329, -40.92109, 25.45867
14.01978, -29.76017, -40.90466, 25.19559
14.04742, -29.52688, -40.86367, 24.86439
14.0755, -29.21631, -40.80186, 24.45048
14.10322, -28.83441, -40.71525, 23.94105
14.14419, -28.48761, -40.56522, 23.43139
14.18475, -28.06864, -40.34065, 22.84057
14.2113, -27.58943, -40.05639, 22.1864
14.23837, -27.12213, -39.72028, 21.54409
14.26559, -26.64716, -39.3369, 20.90993
14.29668, -26.15649, -38.94878, 20.27979
14.32458, -25.66995, -38.56539, 19.7174
14.34507, -25.21331, -38.18237, 19.22806
14.37653, -24.82284, -37.81445, 18.81727
14.40244, -24.44721, -37.44186, 18.45587
14.43177, -24.04711, -37.07677, 18.09437
14.46262, -23.66287, -36.73486, 17.7388
14.49077, -23.28988, -36.41011, 17.39867
14.52182, -22.91112, -36.13126, 17.06961
14.52182, -22.55389, -35.90839, 16.75779
14.54752, -22.22247, -35.74541, 16.44505
14.57547, -21.89016, -35.65174, 16.15246
14.60358, -21.54313, -35.61899, 15.86281
14.63277, -21.14513, -35.63211, 15.53536
14.66609, -20.68559, -35.68068, 15.1617
14.69851, -20.14863, -35.73206, 14.68592
14.73446, -19.47879, -35.80749, 14.09466
14.76177, -18.75247, -35.86063, 13.43231
14.78883, -17.95635, -35.89159, 12.68442
14.81364, -17.10723, -35.89548, 11.88803
14.84293, -16.27056, -35.84652, 11.06561
14.86861, -15.43844, -35.76678, 10.18648
14.89722, -14.58092, -35.67561, 9.305926
14.92454, -13.70014, -35.53622, 8.360672
14.95199, -12.83721, -35.33213, 7.410977
14.97865, -12.02956, -35.07471, 6.478746
15.0068, -11.3664, -34.71772, 5.594224
15.0356, -10.90288, -34.369, 4.814749
15.0634, -10.65368, -34.00121, 4.19115
15.09742, -10.52962, -33.69305, 3.769774
15.13476, -10.4306, -33.49458, 3.543979
15.1712, -10.37322, -33.41661, 3.474911
15.19933, -10.33655, -33.45311, 3.530473
15.22117, -10.27768, -33.57056, 3.567327
15.25294, -10.17539, -33.77349, 3.577303
15.28568, -10.1025, -34.03215, 3.631408
15.31601, -10.09499, -34.33252, 3.725152
15.34139, -10.12226, -34.66807, 3.838339
15.3675, -10.17748, -35.00672, 3.973847
