time, Pitch, Yaw, Roll
7.186165, 2.270986, -6.170156, 1.447533
7.213905, 2.310121, -5.952065, 1.418859
7.241677, 2.358168, -5.748219, 1.390579
7.269603, 2.413381, -5.555555, 1.376719
7.296905, 2.48601, -5.363301, 1.363723
7.32463, 2.555199, -5.17468, 1.340421
7.352867, 2.626219, -4.999162, 1.320121
7.380298, 2.705301, -4.829699, 1.299654
7.408244, 2.782208, -4.666526, 1.286792
7.436251, 2.847989, -4.50663, 1.273032
7.463692, 2.926835, -4.341809, 1.266868
7.491299, 3.009538, -4.162878, 1.253826
7.518847, 3.083055, -3.967583, 1.23733
7.546964, 3.153991, -3.763328, 1.210792
7.5755, 3.224279, -3.550382, 1.189761
7.602671, 3.297881, -3.324194, 1.164157
7.630839, 3.371911, -3.086799, 1.134187
7.658147, 3.441337, -2.835382, 1.10429
7.686181, 3.511455, -2.56796, 1.067162
7.714231, 3.579382, -2.293881, 1.027173
7.741552, 3.641961, -2.017806, 0.9803861
7.769948, 3.700734, -1.748764, 0.9470872
7.797314, 3.768059, -1.478035, 0.9082754
7.825822, 3.838441, -1.20431, 0.8636609
7.853002, 3.908058, -0.9329317, 0.81781
7.880552, 3.980888, -0.6708556, 0.774302
7.908075, 4.057965, -0.4092611, 0.7351527
7.943097, 4.114136, -0.1582588, 0.6974546
7.966587, 4.153364, 0.1027921, 0.6641131
7.994225, 4.189327, 0.3505445, 0.63025
8.021917, 4.22466, 0.5619739, 0.5947903
8.048221, 4.253076, 0.7631016, 0.5668277
8.075362, 4.280845, 0.9589957, 0.5450047
8.1029, 4.328843, 1.154366, 0.5135812
8.130214, 4.370091, 1.33896, 0.4881886
8.157842, 4.4038, 1.519812, 0.4685547
8.185935, 4.427043, 1.698005, 0.453703
8.21409, 4.442899, 1.877636, 0.4396856
8.241647, 4.454917, 2.065165, 0.429328
8.269618, 4.447569, 2.266759, 0.4087828
8.296794, 4.428813, 2.476307, 0.3830841
8.324396, 4.400017, 2.692755, 0.3560827
8.353082, 4.354467, 2.918127, 0.3304307
8.37971, 4.292085, 3.148587, 0.309643
8.407863, 4.214031, 3.383677, 0.2947506
8.436093, 4.134696, 3.633726, 0.2762456
8.463618, 4.038663, 3.900685, 0.2470816
8.491559, 3.906905, 4.17992, 0.2027088
8.519403, 3.770241, 4.467036, 0.1619255
8.546674, 3.639111, 4.76078, 0.1101434
8.575008, 3.51686, 5.056135, 0.05233916
8.602408, 3.403351, 5.361401, 0
8.63008, 3.292594, 5.66756, -0.08622923
8.657693, 3.172188, 5.971924, -0.1678588
8.685761, 3.040601, 6.281288, -0.2462884
8.713778, 2.907912, 6.590945, -0.324455
8.741346, 2.778758, 6.89839, -0.4140146
8.769713, 2.650553, 7.195111, -0.5112901
8.79692, 2.530181, 7.483121, -0.607807
8.824664, 2.401755, 7.784926, -0.7135413
8.852692, 2.250728, 8.096236, -0.8110828
8.880031, 2.085816, 8.438989, -0.9123595
8.916087, 1.913973, 8.790084, -1.02125
8.939594, 1.772992, 9.181641, -1.145176
8.96499, 1.761475, 9.57247, -1.275028
8.995207, -1.983272, 9.960539, -1.398298
9.022477, -2.443204, 10.31645, -1.525981
9.052455, -3.066948, 10.62477, -1.639008
9.082825, -3.772786, 10.87759, -1.764251
9.113712, -4.474659, 11.05831, -1.878469
9.141785, -5.132669, 11.17013, -1.957748
9.170575, -5.729981, 11.19909, -2.017709
9.198701, -6.272042, 11.15108, -2.068573
9.226192, -6.758827, 11.04131, -2.090034
9.253646, -7.153135, 10.87459, -2.125964
9.281758, -7.485822, 10.67592, -2.169884
9.309798, -7.782556, 10.44412, -2.184357
9.338164, -8.011385, 10.18824, -2.189011
9.365272, -8.212815, 9.931414, -2.20007
9.393086, -8.392975, 9.659175, -2.16835
9.420474, -8.584373, 9.363028, -2.152678
9.450027, -8.759324, 9.057292, -2.103568
9.476848, -8.894591, 8.764974, -2.055285
9.503451, -9.046286, 8.475885, -2.025841
9.531538, -9.307869, 8.217308, -1.943198
9.559824, -9.719237, 7.972354, -1.905878
9.587302, -10.22289, 7.71541, -1.850761
9.615375, -10.79406, 7.467344, -1.782899
9.642688, -11.42393, 7.227839, -1.714749
9.671121, -12.1423, 6.988534, -1.646751
9.699029, -12.90687, 6.753283, -1.587823
9.726573, -13.71223, 6.501618, -1.553056
9.754321, -14.52381, 6.247079, -1.528927
9.783503, -15.33495, 5.980321, -1.497633
