angle,posture,start_time,end_time,
90,Reclining,163338,173228,
270,Reclining,175443,217937,
225,Reclining,219779,226424,
0,Reclining,228484,232290,
45,Reclining,234320,238292,
315,Reclining,241001,255584,
135,Reclining,257996,263976,
180,Reclining,265848,278547,
