time, Pitch, Yaw, Roll
6.490958, 0, -1.528671, 0.5609285
6.503008, -0.01978234, -1.534804, 0.5967609
6.517796, 0.05233916, -1.539133, 0.6274496
6.530391, 0.08392937, -1.538878, 0.6504185
6.54383, 0.1153499, -1.539133, 0.6714388
6.557986, 0.1467098, -1.529695, 0.66998
6.571724, 0.1758294, -1.514653, 0.6449805
6.585447, 0.2055842, -1.488983, 0.5928131
6.600156, 0.2624426, -1.457637, 0.5352231
6.61325, 0.3322025, -1.418169, 0.4751895
6.627296, 0.4187142, -1.377572, 0.4205793
6.641133, 0.4873863, -1.339253, 0.3794918
6.654859, 0.5591815, -1.299353, 0.3471792
6.668892, 0.6339648, -1.253514, 0.3250574
6.682624, 0.7140896, -1.207069, 0.311533
6.696584, 0.7890712, -1.155722, 0.3165179
6.711424, 0.8423266, -1.098961, 0.3351346
6.724445, 0.9026566, -1.03722, 0.358274
6.738503, 1.018756, -0.9468806, 0.3716771
6.752422, 1.154197, -0.8423266, 0.3856296
6.766523, 1.267486, -0.7407211, 0.4083038
6.780734, 1.336034, -0.6373509, 0.4524074
6.793904, 1.383101, -0.5370479, 0.5059038
6.80789, 1.410143, -0.4365593, 0.5824909
6.821789, 1.441165, -0.3380413, 0.667053
6.835666, 1.509736, -0.2349025, 0.7538139
6.849427, 1.54535, -0.1412742, 0.8418618
6.86362, 1.549271, -0.05595291, 0.9421154
6.877461, 1.576443, 0.01978234, 1.036465
6.891467, 1.603643, 0.1008706, 1.131942
6.90513, 1.636977, 0.1701742, 1.230988
6.918707, 1.699157, 0.2382111, 1.339691
6.932763, 1.761253, 0.301316, 1.454277
6.946598, 1.823811, 0.3588198, 1.567729
6.960371, 1.899295, 0.4087828, 1.676081
6.974685, 1.975362, 0.4554249, 1.778723
6.988686, 2.035574, 0.4913847, 1.866554
7.002174, 2.061181, 0.5188877, 1.931784
7.016214, 2.083657, 0.5471546, 1.982582
7.030124, 2.114055, 0.5740312, 2.021972
7.043937, 2.117755, 0.5911604, 2.050614
7.057776, 2.100309, 0.6023093, 2.078296
7.071859, 2.082247, 0.5961047, 2.105428
7.085439, 2.065354, 0.5858405, 2.131756
7.099667, 2.043539, 0.5619739, 2.157945
7.113741, 2.039992, 0.5326577, 2.18364
7.127494, 2.043922, 0.4973219, 2.209923
7.141319, 2.039608, 0.4584226, 2.237034
7.155477, 2.036151, 0.4121198, 2.27133
7.169051, 2.031918, 0.3626169, 2.303673
7.182867, 2.03134, 0.3140353, 2.334981
7.196816, 2.029605, 0.2639296, 2.366619
7.210977, 2.031243, 0.2176059, 2.402326
7.224717, 2.037112, 0.1758294, 2.434456
7.23888, 2.051472, 0.1426525, 2.462515
7.252631, 2.069709, 0.1203313, 2.482149
7.266297, 2.089659, 0.1027921, 2.499437
7.280302, 2.101148, 0.09691329, 2.503662
7.294179, 2.110442, 0.1008706, 2.49693
7.307779, 2.113963, 0.1046783, 2.487033
7.321838, 2.08666, 0.1170339, 2.45232
7.335878, 2.056713, 0.1398823, 2.402
7.349578, 2.026999, 0.1690205, 2.343515
7.363464, 1.984456, 0.2007689, 2.274344
7.378067, 1.939973, 0.2373883, 2.210011
7.39137, 1.903103, 0.2790645, 2.156493
7.405773, 1.885644, 0.3426407, 2.113778
7.419422, 1.889895, 0.4261257, 2.082811
7.433325, 1.909366, 0.5177552, 2.06213
7.447168, 1.955647, 0.6262009, 2.066112
7.460946, 2.048131, 0.7509531, 2.087692
7.475067, 2.162746, 0.8791551, 2.122832
7.488888, 2.297547, 1.020675, 2.187133
7.50317, 2.452719, 1.170527, 2.280017
7.516694, 2.639675, 1.327512, 2.37471
