Participant,Posture,Direction,MaxViewingRange
2,Sitting,180,89.51151
2,Sitting,270,52.34579
2,Sitting,225,68.1816
2,Sitting,135,88.43307
2,Sitting,315,64.97625
2,Sitting,90,65.62584
2,Sitting,45,87.96927
2,Sitting,0,80.23213
