Participant,Posture,Direction,MaxViewingRange
1,Reclining,90,21.1917
1,Reclining,270,53.48018
1,Reclining,225,60.68537
1,Reclining,0,62.27625
1,Reclining,45,38.64811
1,Reclining,315,70.8082
1,Reclining,135,44.336
1,Reclining,180,46.10925
