Participant,Posture,Direction,MaxViewingRange
2,Standing,45,94.41315
2,Standing,180,119.074
2,Standing,90,88.71561
2,Standing,225,97.47014
2,Standing,270,62.40017
2,Standing,0,102.4168
2,Standing,135,111.2962
2,Standing,315,86.38766
