Participant,Posture,Direction,MaxViewingRange
1,Sitting,90,63.92733
1,Sitting,135,94.70429
1,Sitting,45,86.17787
1,Sitting,315,87.28993
1,Sitting,225,78.14566
1,Sitting,180,90.70263
1,Sitting,270,88.4459
1,Sitting,0,79.25515
