Participant,Posture,Direction,MaxViewingRange
3,Standing,90,79.80745
3,Standing,45,56.01347
3,Standing,180,49.62404
3,Standing,315,69.79431
3,Standing,135,68.09917
3,Standing,270,56.20024
3,Standing,225,56.68325
3,Standing,0,68.1973
