Participant,Posture,Direction,MaxViewingRange
2,Lying,90,50.81513
2,Lying,45,62.0233
2,Lying,0,68.58675
2,Lying,315,57.55863
2,Lying,270,53.27083
2,Lying,135,57.05231
2,Lying,225,73.3672
2,Lying,180,75.3886
