Participant,Posture,Direction,MaxViewingRange
2,Reclining,135,75.0706
2,Reclining,45,81.05196
2,Reclining,225,79.53172
2,Reclining,90,48.3377
2,Reclining,180,81.90412
2,Reclining,270,63.14313
2,Reclining,0,82.51994
2,Reclining,315,72.63261
