time, Pitch, Yaw, Roll
3.531096, -19.93194, 0.2517883, -14.30509
3.55931, -20.04666, 0.2533378, -14.45317
3.586362, -20.16979, 0.2454926, -14.60921
3.614448, -20.30295, 0.2255535, -14.77144
3.641907, -20.42903, 0.1968319, -14.92435
3.669353, -20.54491, 0.1631294, -15.06157
3.700229, -20.65197, 0.1170339, -15.18735
3.725264, -20.73224, 0.05233916, -15.29349
3.753389, -20.80958, -0.02797646, -15.39762
3.780796, -20.90415, -0.1203313, -15.53194
3.808562, -21.0495, -0.2036718, -15.71648
3.836199, -21.24646, -0.2804634, -15.95761
3.863755, -21.47905, -0.3454843, -16.25104
3.892458, -21.76454, -0.392669, -16.5945
3.919237, -22.07211, -0.4159008, -16.9651
3.948528, -22.41526, -0.4306931, -17.37217
3.975466, -22.76402, -0.4316007, -17.79387
4.003171, -23.10241, -0.4265846, -18.20159
4.031173, -23.42158, -0.4173099, -18.58708
4.059372, -23.66466, -0.4000739, -18.89682
4.087034, -23.8074, -0.3815487, -19.1081
4.117187, -23.82268, -0.3571801, -19.20145
4.142609, -23.71161, -0.3146578, -19.16928
4.169744, -23.45388, -0.2639296, -18.99212
4.197529, -23.01122, -0.1938267, -18.6292
4.224989, -22.3369, -0.1219466, -18.03994
4.253245, -21.50665, -0.04845664, -17.28975
4.280647, -20.57247, 0, -16.41743
4.309052, -19.5771, 0.05233916, -15.46901
4.336464, -18.54085, 0.07401875, -14.45246
4.364231, -17.53603, 0.08392937, -13.45763
4.392112, -16.63303, 0.06852804, -12.53503
4.420164, -15.86139, 0.03426402, -11.71571
4.449475, -15.21058, -0.02797646, -11.01435
4.47605, -14.64652, -0.08846933, -10.39714
4.503204, -14.11253, -0.1690205, -9.80219
4.532418, -13.59118, -0.2470816, -9.225307
4.559796, -13.09381, -0.309643, -8.666283
4.587787, -12.5933, -0.3690354, -8.101011
4.615117, -12.09825, -0.4343124, -7.54145
4.643132, -11.58497, -0.5059038, -6.964861
4.67068, -11.05621, -0.5808088, -6.375721
4.697894, -10.50914, -0.6489125, -5.762147
4.725096, -10.0194, -0.7149112, -5.1912
4.753392, -9.474382, -0.8072135, -4.526969
4.781039, -8.986446, -0.9149297, -3.892192
4.809953, -8.570176, -1.030216, -3.293961
