range,posture,start,end,
LittleBear_ui,default,1039055,11059,
BigBear_ui,default,11088,31008,
Twins_ui,default,31035,38918,
Goose_ui,default,38947,66832,
Crown_ui,default,66862,74909,
Queen_ui,default,74937,84602,
