angle,posture,start_time,end_time,
0,Standing,17375,90894,
135,Standing,102436,112015,
45,Standing,114448,127022,
270,Standing,129012,181141,
225,Standing,182975,193583,
315,Standing,195892,203068,
180,Standing,204428,208015,
90,Standing,209887,223639,
