range,posture,start,end,
45,Standing,10144,11182,
45,Standing,10144,11194,
45,Standing,10144,11211,
45,Standing,10144,11224,
180,Standing,20029,20041,
180,Standing,20029,20054,
180,Standing,20029,20068,
180,Standing,20029,20080,
180,Standing,20029,20098,
180,Standing,20029,20110,
180,Standing,20029,20122,
180,Standing,20029,20140,
180,Standing,20029,20152,
180,Standing,20029,20167,
180,Standing,20029,20179,
180,Standing,20029,20197,
180,Standing,20029,20209,
180,Standing,20029,20226,
180,Standing,20029,20238,
180,Standing,20029,20250,
180,Standing,20029,20263,
180,Standing,20029,20278,
180,Standing,20029,20290,
180,Standing,20029,20307,
180,Standing,20029,20320,
180,Standing,20029,20334,
180,Standing,20029,20346,
180,Standing,20029,20359,
180,Standing,20029,20376,
180,Standing,20029,20388,
180,Standing,20029,20401,
180,Standing,20029,20418,
180,Standing,20029,20430,
180,Standing,20029,20450,
180,Standing,20029,20470,
180,Standing,20029,20488,
180,Standing,20029,20504,
180,Standing,20029,20516,
180,Standing,20029,20529,
180,Standing,20029,20542,
180,Standing,20029,20556,
180,Standing,20029,20569,
180,Standing,20029,20581,
180,Standing,20029,20598,
180,Standing,20029,20611,
180,Standing,20029,20625,
180,Standing,20029,20637,
180,Standing,20029,20655,
180,Standing,20029,20667,
180,Standing,20029,20679,
180,Standing,20029,20691,
180,Standing,20029,20709,
180,Standing,20029,20721,
180,Standing,20029,20737,
180,Standing,20029,20749,
180,Standing,20029,20761,
180,Standing,20029,20779,
180,Standing,20029,20791,
180,Standing,20029,20808,
180,Standing,20029,20820,
180,Standing,20029,20833,
180,Standing,20029,20847,
180,Standing,20029,20859,
180,Standing,20029,20877,
180,Standing,20029,20889,
180,Standing,20029,20901,
180,Standing,20029,20916,
180,Standing,20029,20928,
180,Standing,20029,20945,
180,Standing,20029,20958,
180,Standing,20029,20970,
180,Standing,20029,20987,
180,Standing,20029,21000,
180,Standing,20029,21012,
180,Standing,20029,21027,
180,Standing,20029,21040,
180,Standing,20029,21057,
180,Standing,20029,21069,
180,Standing,20029,21084,
180,Standing,20029,21096,
180,Standing,20029,21113,
180,Standing,20029,21126,
180,Standing,20029,21138,
180,Standing,20029,21150,
180,Standing,20029,21168,
180,Standing,20029,21180,
180,Standing,20029,21194,
180,Standing,20029,21207,
180,Standing,20029,21222,
180,Standing,20029,21254,
180,Standing,20029,21266,
180,Standing,24496,24508,
180,Standing,24496,24525,
180,Standing,24496,24538,
180,Standing,24496,24550,
180,Standing,24496,24567,
180,Standing,24496,24580,
180,Standing,24496,24594,
180,Standing,24496,24606,
180,Standing,24496,24624,
180,Standing,24496,24636,
180,Standing,24496,24648,
180,Standing,24496,24663,
180,Standing,24496,24675,
180,Standing,24496,24690,
180,Standing,24496,24705,
180,Standing,24496,24717,
180,Standing,24496,24734,
180,Standing,24496,24747,
180,Standing,24496,24759,
180,Standing,24496,24774,
180,Standing,24496,24786,
180,Standing,24496,24804,
180,Standing,24496,24816,
180,Standing,24496,24834,
180,Standing,24496,24846,
180,Standing,24496,24858,
180,Standing,24496,24870,
180,Standing,24496,24885,
180,Standing,24496,24897,
180,Standing,24496,24914,
180,Standing,24496,24927,
180,Standing,24496,24941,
180,Standing,24496,24953,
180,Standing,24496,24967,
180,Standing,24496,24983,
180,Standing,24496,24995,
180,Standing,24496,25008,
180,Standing,24496,25025,
180,Standing,24496,25037,
180,Standing,24496,25053,
180,Standing,24496,25065,
180,Standing,24496,25077,
180,Standing,24496,25095,
180,Standing,24496,25107,
180,Standing,24496,25124,
180,Standing,24496,25137,
180,Standing,24496,25149,
180,Standing,24496,25163,
180,Standing,24496,25176,
180,Standing,24496,25193,
180,Standing,24496,25205,
180,Standing,24496,25220,
180,Standing,24496,25245,
180,Standing,24496,25257,
180,Standing,24496,25274,
180,Standing,24496,25291,
180,Standing,24496,25304,
180,Standing,24496,25319,
180,Standing,26610,26622,
180,Standing,26610,26635,
180,Standing,26610,26650,
180,Standing,26610,26667,
180,Standing,26610,26680,
180,Standing,26610,26692,
180,Standing,26610,26704,
180,Standing,26610,26719,
180,Standing,26610,26731,
180,Standing,26610,26743,
180,Standing,26610,26761,
180,Standing,26610,26773,
180,Standing,26610,26790,
180,Standing,26610,26803,
180,Standing,26610,26817,
180,Standing,26610,26829,
180,Standing,26610,26842,
180,Standing,26610,26859,
180,Standing,26610,26871,
180,Standing,26610,26889,
180,Standing,26610,26901,
180,Standing,26610,26913,
180,Standing,26610,26929,
180,Standing,26610,26941,
180,Standing,26610,26953,
180,Standing,26610,26971,
180,Standing,26610,26983,
180,Standing,26610,26997,
180,Standing,26610,27010,
180,Standing,26610,27022,
180,Standing,26610,27039,
180,Standing,26610,27052,
180,Standing,26610,27069,
180,Standing,26610,27081,
180,Standing,26610,27096,
180,Standing,26610,27108,
180,Standing,26610,27125,
180,Standing,26610,27138,
180,Standing,26610,27150,
180,Standing,26610,27162,
180,Standing,26610,27180,
180,Standing,26610,27190,
180,Standing,26610,27207,
180,Standing,26610,27219,
180,Standing,26610,27232,
180,Standing,26610,27249,
180,Standing,26610,27261,
180,Standing,26610,27276,
180,Standing,26610,27288,
180,Standing,26610,27300,
180,Standing,26610,27318,
180,Standing,26610,27330,
180,Standing,26610,27342,
180,Standing,26610,27360,
180,Standing,26610,27372,
180,Standing,26610,27386,
180,Standing,26610,27399,
180,Standing,26610,27416,
180,Standing,26610,27428,
180,Standing,26610,27441,
180,Standing,26610,27456,
180,Standing,26610,27468,
180,Standing,26610,27486,
180,Standing,26610,27498,
180,Standing,26610,27510,
180,Standing,26610,27528,
180,Standing,26610,27540,
180,Standing,26610,27552,
180,Standing,26610,27567,
180,Standing,26610,27579,
180,Standing,26610,27596,
180,Standing,26610,27609,
180,Standing,26610,27621,
180,Standing,26610,27638,
180,Standing,26610,27651,
180,Standing,26610,27665,
180,Standing,26610,27677,
180,Standing,26610,27695,
180,Standing,26610,27707,
180,Standing,26610,27719,
180,Standing,26610,27735,
180,Standing,26610,27747,
90,Standing,39909,39921,
90,Standing,39909,39933,
90,Standing,39909,39951,
90,Standing,39909,39968,
90,Standing,39909,39981,
90,Standing,39909,39993,
90,Standing,39909,40005,
90,Standing,39909,40019,
90,Standing,39909,40032,
90,Standing,39909,40045,
90,Standing,39909,40061,
90,Standing,39909,40074,
90,Standing,39909,40091,
90,Standing,39909,40103,
90,Standing,39909,40119,
90,Standing,39909,40131,
90,Standing,39909,40143,
90,Standing,39909,40161,
90,Standing,39909,40173,
90,Standing,39909,40185,
90,Standing,39909,40200,
90,Standing,39909,40212,
90,Standing,39909,40229,
90,Standing,39909,40242,
90,Standing,39909,40254,
90,Standing,39909,40271,
90,Standing,39909,40284,
90,Standing,39909,40298,
90,Standing,39909,40315,
90,Standing,39909,40328,
90,Standing,39909,40345,
90,Standing,39909,40365,
90,Standing,39909,40382,
90,Standing,39909,40404,
90,Standing,39909,40422,
90,Standing,39909,40439,
90,Standing,39909,40452,
90,Standing,39909,40464,
90,Standing,39909,40476,
90,Standing,39909,40491,
90,Standing,39909,40503,
90,Standing,39909,40520,
90,Standing,39909,40532,
90,Standing,39909,40545,
90,Standing,39909,40562,
90,Standing,39909,40574,
90,Standing,39909,40590,
90,Standing,39909,40602,
90,Standing,39909,40614,
90,Standing,39909,40631,
90,Standing,39909,40648,
90,Standing,39909,40658,
90,Standing,39909,40671,
90,Standing,39909,40683,
90,Standing,39909,40700,
90,Standing,39909,40713,
90,Standing,39909,40730,
90,Standing,39909,40755,
90,Standing,39909,40769,
90,Standing,39909,40781,
90,Standing,39909,40799,
90,Standing,39909,40811,
90,Standing,42160,42174,
90,Standing,42160,42199,
90,Standing,42160,42211,
90,Standing,42160,42228,
90,Standing,42160,42241,
90,Standing,42160,42256,
90,Standing,42160,42268,
90,Standing,42160,42298,
90,Standing,42160,42310,
90,Standing,42160,42322,
90,Standing,42160,42340,
90,Standing,42160,42352,
90,Standing,42160,42366,
90,Standing,42160,42379,
90,Standing,42160,42391,
90,Standing,42160,42408,
90,Standing,42160,42421,
90,Standing,42160,42438,
90,Standing,42160,42448,
90,Standing,42160,42461,
90,Standing,42160,42477,
90,Standing,42160,42489,
90,Standing,42160,42505,
90,Standing,42160,42519,
90,Standing,42160,42534,
90,Standing,42160,42547,
90,Standing,42160,42559,
90,Standing,42160,42576,
90,Standing,42160,42589,
90,Standing,42160,42601,
90,Standing,42160,42618,
90,Standing,42160,42631,
90,Standing,42160,42643,
90,Standing,42160,42657,
90,Standing,42160,42675,
90,Standing,42160,42687,
90,Standing,42160,42712,
90,Standing,42160,42727,
90,Standing,42160,42752,
90,Standing,42160,42768,
90,Standing,42160,42781,
90,Standing,42160,42798,
90,Standing,42160,42810,
90,Standing,42160,42822,
90,Standing,42160,42838,
90,Standing,42160,42850,
90,Standing,42160,42867,
90,Standing,42160,42880,
90,Standing,42160,42897,
90,Standing,42160,42909,
90,Standing,42160,42921,
90,Standing,42160,42936,
90,Standing,42160,42948,
90,Standing,42160,42960,
90,Standing,42160,42978,
90,Standing,42160,42990,
90,Standing,42160,43005,
90,Standing,42160,43018,
90,Standing,42160,43034,
90,Standing,42160,43047,
90,Standing,44198,44216,
90,Standing,44198,44225,
90,Standing,44198,44237,
90,Standing,44198,44255,
90,Standing,44198,44272,
90,Standing,44198,44284,
90,Standing,44198,44297,
90,Standing,44198,44309,
90,Standing,44198,44323,
90,Standing,44198,44336,
90,Standing,44198,44353,
90,Standing,44198,44365,
90,Standing,44198,44378,
90,Standing,44198,44395,
90,Standing,44198,44407,
90,Standing,44198,44435,
90,Standing,44198,44447,
90,Standing,44198,44465,
90,Standing,44198,44477,
90,Standing,44198,44491,
90,Standing,44198,44504,
90,Standing,44198,44516,
90,Standing,44198,44533,
90,Standing,44198,44546,
90,Standing,44198,44563,
90,Standing,44198,44575,
90,Standing,44198,44590,
90,Standing,44198,44602,
90,Standing,44198,44615,
90,Standing,44198,44627,
90,Standing,44198,44644,
90,Standing,44198,44656,
90,Standing,44198,44674,
90,Standing,44198,44686,
90,Standing,44198,44701,
90,Standing,44198,44713,
90,Standing,44198,44731,
90,Standing,44198,44743,
90,Standing,44198,44755,
90,Standing,44198,44768,
90,Standing,44198,44782,
90,Standing,44198,44794,
90,Standing,44198,44812,
90,Standing,44198,44836,
90,Standing,44198,44854,
90,Standing,44198,44866,
90,Standing,44198,44880,
90,Standing,44198,44894,
90,Standing,44198,44906,
90,Standing,44198,44922,
90,Standing,44198,44935,
90,Standing,44198,44947,
90,Standing,44198,44964,
90,Standing,44198,44977,
90,Standing,44198,45009,
90,Standing,44198,45034,
90,Standing,44198,45061,
225,Standing,52658,52670,
225,Standing,52658,52687,
225,Standing,52658,52700,
225,Standing,52658,52712,
225,Standing,52658,52724,
225,Standing,52658,52740,
225,Standing,52658,52752,
225,Standing,52658,52764,
225,Standing,52658,52782,
225,Standing,52658,52794,
225,Standing,52658,52811,
225,Standing,52658,52824,
225,Standing,52658,52838,
225,Standing,52658,52850,
225,Standing,52658,52862,
225,Standing,52658,52880,
225,Standing,52658,52892,
225,Standing,52658,52904,
225,Standing,52658,52919,
225,Standing,52658,52931,
225,Standing,52658,52948,
225,Standing,52658,52961,
225,Standing,52658,52978,
225,Standing,52658,53003,
225,Standing,52658,53015,
225,Standing,52658,53030,
225,Standing,52658,53043,
225,Standing,52658,53057,
225,Standing,52658,53072,
225,Standing,52658,53085,
225,Standing,52658,53102,
225,Standing,52658,53114,
225,Standing,52658,53129,
225,Standing,52658,53141,
225,Standing,52658,53153,
225,Standing,52658,53171,
225,Standing,52658,53183,
225,Standing,52658,53197,
225,Standing,52658,53211,
225,Standing,52658,53223,
225,Standing,52658,53239,
225,Standing,52658,53252,
225,Standing,52658,53264,
225,Standing,52658,53281,
225,Standing,52658,53297,
225,Standing,52658,53309,
225,Standing,52658,53321,
225,Standing,52658,53334,
225,Standing,52658,53351,
225,Standing,52658,53363,
225,Standing,52658,53378,
225,Standing,52658,53390,
225,Standing,52658,53407,
225,Standing,52658,53420,
225,Standing,52658,53432,
225,Standing,52658,53449,
225,Standing,52658,53462,
225,Standing,52658,53474,
225,Standing,52658,53489,
225,Standing,52658,53501,
225,Standing,52658,53518,
225,Standing,52658,53530,
225,Standing,52658,53542,
225,Standing,52658,53560,
225,Standing,52658,53572,
225,Standing,52658,53587,
225,Standing,52658,53600,
225,Standing,52658,53612,
225,Standing,52658,53629,
225,Standing,52658,53642,
225,Standing,52658,53656,
225,Standing,52658,53668,
225,Standing,52658,53681,
225,Standing,52658,53698,
225,Standing,52658,53710,
225,Standing,52658,53726,
225,Standing,52658,53740,
225,Standing,52658,53752,
225,Standing,52658,53768,
225,Standing,52658,53780,
225,Standing,52658,53796,
225,Standing,52658,53809,
225,Standing,52658,53822,
225,Standing,52658,53838,
225,Standing,52658,53851,
225,Standing,52658,53863,
225,Standing,52658,53878,
225,Standing,52658,53891,
225,Standing,52658,53908,
225,Standing,52658,53920,
225,Standing,52658,53933,
225,Standing,52658,53947,
225,Standing,52658,53959,
225,Standing,52658,53971,
225,Standing,52658,53989,
225,Standing,52658,54001,
225,Standing,52658,54019,
225,Standing,52658,54031,
225,Standing,52658,54043,
225,Standing,57711,57723,
225,Standing,57711,57736,
225,Standing,57711,57753,
225,Standing,57711,57765,
225,Standing,57711,57778,
225,Standing,57711,57793,
225,Standing,57711,57805,
225,Standing,57711,57822,
225,Standing,57711,57834,
225,Standing,57711,57851,
225,Standing,57711,57864,
225,Standing,57711,57879,
225,Standing,57711,57891,
225,Standing,57711,57904,
225,Standing,57711,57916,
225,Standing,57711,57933,
225,Standing,57711,57946,
225,Standing,57711,57960,
225,Standing,57711,57972,
225,Standing,57711,57985,
225,Standing,57711,58002,
225,Standing,57711,58019,
225,Standing,57711,58044,
225,Standing,57711,58056,
225,Standing,57711,58072,
225,Standing,57711,58084,
225,Standing,57711,58096,
225,Standing,57711,58113,
225,Standing,57711,58126,
225,Standing,57711,58142,
225,Standing,57711,58155,
225,Standing,57711,58170,
225,Standing,57711,58194,
225,Standing,57711,58212,
225,Standing,57711,58236,
225,Standing,57711,58251,
225,Standing,57711,58263,
225,Standing,57711,58275,
225,Standing,57711,58293,
225,Standing,57711,58305,
225,Standing,57711,58322,
225,Standing,57711,58335,
225,Standing,57711,58350,
225,Standing,57711,58362,
225,Standing,57711,58375,
225,Standing,57711,58391,
225,Standing,57711,58404,
225,Standing,57711,58417,
225,Standing,57711,58433,
225,Standing,57711,58445,
225,Standing,57711,58461,
225,Standing,57711,58473,
225,Standing,57711,58490,
225,Standing,57711,58503,
225,Standing,57711,58515,
225,Standing,57711,58529,
225,Standing,57711,58542,
225,Standing,57711,58554,
225,Standing,57711,58571,
225,Standing,57711,58584,
225,Standing,57711,58601,
225,Standing,57711,58613,
225,Standing,57711,58626,
225,Standing,57711,58641,
225,Standing,57711,58653,
225,Standing,57711,58671,
225,Standing,57711,58683,
225,Standing,57711,58695,
225,Standing,57711,58710,
225,Standing,57711,58722,
